LapNumber,TyreLife,Compound,deg_rate,gap_ahead,undercut_risk,Position,pit_next_lap,Year,EventName,Driver,pit_probability,recommended,predicted_position
3.0,3.0,1.0,10.74966666666667,999.0,0,1.0,0,2022,Australian Grand Prix,LEC,0.025,False,2
3.0,3.0,1.0,12.392333333333326,2.8299999999999983,0,2.0,0,2022,Australian Grand Prix,VER,0.015,False,3
3.0,3.0,1.0,13.740333333333323,2.811000000000007,0,3.0,0,2022,Australian Grand Prix,HAM,0.015,False,4
3.0,3.0,1.0,14.394333333333336,1.3829999999999956,0,4.0,0,2022,Australian Grand Prix,PER,0.015,False,4
3.0,3.0,1.0,14.400000000000006,0.6230000000000047,0,5.0,0,2022,Australian Grand Prix,RUS,0.016,False,5
3.0,3.0,1.0,14.263999999999996,0.3999999999999915,0,6.0,0,2022,Australian Grand Prix,NOR,0.019,False,5
3.0,3.0,1.0,13.99333333333334,0.0580000000000069,0,7.0,0,2022,Australian Grand Prix,RIC,0.009,False,6
3.0,3.0,1.0,13.583333333333345,0.073999999999998,0,8.0,0,2022,Australian Grand Prix,OCO,0.009,False,7
3.0,3.0,1.0,14.27766666666666,1.5819999999999936,0,9.0,0,2022,Australian Grand Prix,GAS,0.013,False,6
3.0,3.0,2.0,14.281333333333336,0.561000000000007,0,10.0,0,2022,Australian Grand Prix,ALO,0.008,False,9
3.0,3.0,1.0,14.204666666666654,0.211999999999989,0,11.0,0,2022,Australian Grand Prix,TSU,0.015,False,10
3.0,3.0,1.0,13.947999999999992,0.0420000000000015,0,12.0,0,2022,Australian Grand Prix,BOT,0.023,False,11
3.0,5.0,1.0,13.765666666666675,0.0110000000000098,0,13.0,0,2022,Australian Grand Prix,MSC,0.121,False,12
3.0,3.0,1.0,13.900999999999996,0.6909999999999883,0,14.0,0,2022,Australian Grand Prix,ZHO,0.029,False,13
3.0,3.0,2.0,13.805333333333351,0.1480000000000103,0,15.0,0,2022,Australian Grand Prix,MAG,0.013,False,12
3.0,4.0,2.0,14.454666666666668,1.296999999999997,0,16.0,0,2022,Australian Grand Prix,VET,0.049,False,14
3.0,3.0,1.0,13.897999999999996,0.2560000000000002,0,17.0,0,2022,Australian Grand Prix,LAT,0.064,False,13
3.0,3.0,2.0,13.603000000000009,0.1700000000000017,0,18.0,0,2022,Australian Grand Prix,ALB,0.017,False,16
3.0,4.0,2.0,22.439000000000007,12.908999999999992,0,19.0,1,2022,Australian Grand Prix,STR,0.852,True,16
4.0,4.0,1.0,27.37100000000001,999.0,0,1.0,0,2022,Australian Grand Prix,LEC,0.014,False,2
4.0,4.0,1.0,25.84599999999999,0.8300000000000125,0,2.0,0,2022,Australian Grand Prix,VER,0.013,False,3
4.0,4.0,1.0,24.128999999999976,0.8580000000000041,0,3.0,0,2022,Australian Grand Prix,HAM,0.017,False,4
4.0,4.0,1.0,23.064999999999984,0.9869999999999948,0,4.0,0,2022,Australian Grand Prix,PER,0.009,False,5
4.0,4.0,1.0,23.047666666666643,0.3700000000000045,0,5.0,0,2022,Australian Grand Prix,RUS,0.017,False,5
4.0,4.0,1.0,23.23933333333333,0.7290000000000134,0,6.0,0,2022,Australian Grand Prix,NOR,0.011,False,5
4.0,4.0,1.0,23.432,0.5279999999999916,0,7.0,0,2022,Australian Grand Prix,RIC,0.011,False,7
4.0,4.0,1.0,23.445333333333352,0.1690000000000111,0,8.0,0,2022,Australian Grand Prix,OCO,0.006,False,8
4.0,4.0,1.0,22.571333333333328,0.5760000000000218,0,9.0,0,2022,Australian Grand Prix,GAS,0.01,False,9
4.0,4.0,2.0,21.538,1.0509999999999875,0,10.0,0,2022,Australian Grand Prix,ALO,0.006,False,9
